TRACT_FIPS20	CENSUS_TRACT_AREA20	TOT_POP_2020	COUNT_NTM_STOPS	STOPS_PER_CAPITA	STOPS_PER_SQMILE
01001020100	3.793570995	1941	0	0	0
01001020200	1.282174945	1757	0	0	0
01001020300	2.065365076	3694	0	0	0
01001020400	2.464985132	3539	0	0	0
01001020501	2.395244122	4306	0	0	0
01001020502	.809806824	3100	0	0	0
01001020503	1.199937224	3268	0	0	0
01001020600	3.104883432	3536	0	0	0
01001020700	8.653263092	3562	0	0	0
01001020801	47.981945038	3073	0	0	0
01001020803	49.818809509	4350	0	0	0
01001020804	10.18469429	4560	0	0	0
01001020805	13.682418823	2305	0	0	0
01001020901	40.638118744	3661	0	0	0
01001020902	72.3959198	2586	0	0	0
01001021000	149.369522095	2904	0	0	0
01001021100	184.615417481	3497	0	0	0
01003010100	375.108673096	3266	0	0	0
01003010200	85.636375427	2916	0	0	0
01003010300	132.44770813	8627	0	0	0
01003010400	284.739807129	5222	0	0	0
01003010500	6.72778511	5889	0	0	0
01003010600	7.173113346	4115	0	0	0
01003010704	3.248203754	6106	0	0	0
01003010706	5.189477444	3545	0	0	0
01003010707	37.046943665	5391	0	0	0
01003010708	31.471158981	10247	0	0	0
01003010709	24.169359207	11493	0	0	0
01003010710	5.336024284	5428	0	0	0
01003010711	1.370963097	4026	0	0	0
01003010800	6.977176666	7781	0	0	0
01003010903	21.462163925	6667	0	0	0
01003010904	106.63243103	6212	0	0	0
01003010906	15.182814598	5337	0	0	0
01003010907	15.510578156	4117	0	0	0
01003010908	11.949939728	4409	0	0	0
01003011000	50.387836456	4921	0	0	0
01003011102	17.469238281	5231	0	0	0
01003011103	6.06687212	4263	0	0	0
01003011104	6.910535812	7559	0	0	0
01003011201	4.755032539	4348	0	0	0
01003011202	5.207384586	5462	0	0	0
01003011300	25.358997345	5599	0	0	0
01003011409	20.730964661	5052	0	0	0
01003011410	42.88061142	7442	0	0	0
01003011411	15.91085434	4043	0	0	0
01003011412	8.793701172	3004	0	0	0
01003011413	8.193419456	3702	0	0	0
01003011414	2.979824543	2830	0	0	0
01003011415	3.002403021	1716	0	0	0
01003011416	5.203984261	1474	0	0	0
01003011417	6.27741909	1880	0	0	0
01003011418	6.919620514	1346	0	0	0
01003011419	18.414352417	4730	0	0	0
01003011501	14.908834457	7122	0	0	0
01003011503	9.618313789	8151	0	0	0
01003011504	10.424670219	6014	0	0	0
01003011601	90.578338623	5415	0	0	0
01003011603	21.525466919	3635	0	0	0
01003011604	9.936565399	2556	0	0	0
01003990000	0	0	0	 	 
01005950100	187.349945068	2725	0	0	0
01005950200	199.617156983	4197	0	0	0
01005950300	136.215576172	1584	0	0	0
01005950400	132.556411743	3850	0	0	0
01005950500	128.848342896	3118	0	0	0
01005950600	39.263271332	1994	0	0	0
01005950700	49.116775513	1527	0	0	0
01005950800	5.687191486	2365	0	0	0
01005950900	6.353309631	3666	0	0	0
01007010001	89.751502991	1994	0	0	0
01007010005	24.511209488	4272	0	0	0
01007010006	45.23374176	1280	0	0	0
01007010007	150.909042359	2373	0	0	0
01007010008	116.146095276	2338	0	0	0
01007010009	25.690906525	4587	0	0	0
01007010010	20.881425858	3233	0	0	0
01007010011	149.345626831	2297	0	0	0
01009050103	39.229804993	1707	0	0	0
01009050104	29.655143738	2403	0	0	0
01009050105	41.706638336	4787	0	0	0
01009050106	7.728805542	3159	0	0	0
01009050107	36.128143311	2522	0	0	0
01009050200	44.993831635	4372	0	0	0
01009050301	33.713439941	2795	0	0	0
